"","lactate control1","lactate control2","lactate treat1","lactate treat2","pregnant control1","pregnant control2","pregnant treat1","pregnant treat2","virgin control1","virgin control2","virgin treat1","virgin treat2"
"497097",354,287,0,0,65,237,0,0,300,0,0,438
"100503874",0,4,0,0,1,1,0,0,0,0,0,1
"100038431",0,0,0,0,0,0,0,0,0,0,0,0
"19888",0,0,0,0,0,0,10,2,1,10,3,1
"20671",43,82,3,10,82,105,18,8,182,16,25,106
"27395",290,270,307,342,337,300,489,328,234,560,464,309
"18777",928,791,544,581,948,935,668,646,515,826,862,652
"100503730",0,0,2,2,0,0,2,0,1,0,1,0
"21399",1159,1066,508,500,1721,1317,1068,926,1495,1334,1258,1604
"58175",2,2,27,15,14,4,138,60,2,170,165,4
"108664",995,903,1330,1296,1062,987,1762,1570,752,1381,1430,769
"18387",0,0,0,0,0,0,0,0,0,0,0,0
"226304",0,0,0,0,0,0,0,0,0,0,0,2
"12421",1603,1577,717,622,1157,967,1288,1278,1412,1262,1336,1494
"620393",0,0,0,0,0,0,0,0,0,0,0,0
"240690",0,0,0,0,0,1,1,0,0,0,0,0
"319263",2029,1982,1427,1459,1374,1593,1036,1144,1242,1085,961,1344
"71096",0,0,0,0,1,0,0,0,0,0,0,1
"59014",793,544,383,409,2127,1653,1076,948,1808,1207,1071,1691
"76187",24,24,247,252,15,21,172,197,15,26,55,18
"72481",17,12,18,12,3,4,27,53,3,19,15,5
"76982",84,77,6,5,15,18,9,7,6,5,8,17
"17864",358,282,39,49,286,262,140,141,537,256,311,764
"70675",1181,956,473,432,1137,1021,1446,1290,1378,1475,1636,1501
"73331",0,1,2,1,1,2,2,0,1,0,0,2
"170755",212,232,42,36,145,146,55,58,232,207,168,280
"620986",61,52,33,24,58,62,67,48,70,127,119,61
"240697",9,8,1,0,6,4,0,0,3,0,1,6
"73824",195,153,93,93,424,362,206,192,366,405,375,352
"266793",8,3,3,0,11,14,3,2,11,8,5,10
"100038398",14,18,19,15,23,28,6,28,21,9,10,64
"100039596",2,3,3,1,4,7,4,0,10,1,1,14
"69312",1,0,1,1,1,0,1,6,0,1,1,1
"26754",956,818,734,763,1174,1031,1426,1219,1051,1531,1714,1134
"211660",542,551,251,266,493,434,466,497,606,561,623,670
"211673",2983,2772,2290,2213,3304,2975,3018,3079,3604,3703,3534,3447
"329093",71,63,0,0,89,61,0,0,121,0,0,92
"109294",137,161,62,43,145,147,24,38,553,137,151,388
"320492",0,2,0,0,2,2,2,9,9,5,2,16
"329096",0,0,0,0,0,0,0,0,0,0,0,0
"240725",437,372,18,17,331,535,10,11,965,42,63,884
"240726",10,5,1,0,23,9,18,8,15,13,7,38
"383491",18,15,0,0,13,12,5,3,11,5,9,8
"17978",3210,3146,719,740,3180,2743,1445,1268,2516,2359,2541,2356
"72265",1026,945,4555,4628,1409,1290,3945,3090,1481,2333,2717,1477
"212442",180,177,344,377,135,122,201,182,119,293,332,141
"381246",0,0,4,4,0,0,0,0,0,0,0,0
"433273",0,2,3,4,2,0,1,0,2,1,4,0
"14048",497,619,0,1,412,366,1,1,388,1,2,280
"17681",2,1,1,2,3,2,36,16,2,55,44,5
"277328",0,0,0,0,0,0,0,0,0,0,0,0
"98741",0,1,0,0,0,1,0,0,0,1,0,4
"21749",169,221,154,121,181,146,150,137,235,214,220,270
"226866",245,244,0,1,382,393,3,19,924,10,13,733
"665434",0,0,0,0,2,0,0,0,1,1,1,1
"75799",2,1,0,0,1,1,0,0,0,1,0,3
"19989",9690,8652,3834,3766,14309,12427,12087,10919,16804,15065,14918,13915
"98711",1278,1388,114,108,1809,1253,620,609,1860,541,760,2322
"29819",439,362,191,222,533,464,469,357,419,422,489,395
"66799",842,717,208,226,712,650,345,335,719,411,404,750
"67923",2115,1980,549,523,2716,2221,923,805,2920,1347,1240,3119
"329101",0,1,0,0,2,4,1,0,1,0,0,1
"70397",503,467,448,506,605,522,417,375,428,438,385,485
"17087",52,31,106,88,54,38,167,144,21,75,89,33
"57339",136,109,42,43,214,183,55,45,162,83,49,199
"14545",14,10,0,1,22,18,1,1,2,2,2,2
"94227",112,76,2,2,170,273,4,1,234,11,10,122
"83691",257,261,1,7,315,298,5,3,768,9,10,419
"78081",0,0,0,0,0,0,0,0,0,0,0,0
"654454",0,0,0,0,0,0,0,0,0,0,1,0
"654460",0,0,0,0,0,0,0,0,0,0,0,0
"77673",0,0,0,0,0,0,0,0,0,0,0,0
"654464",0,0,0,0,0,0,0,0,0,0,0,0
"226896",0,0,0,0,0,0,0,0,0,0,0,0
"21419",2114,2638,99,85,1545,1787,200,61,1540,1918,1692,1715
"241035",0,1,0,0,0,0,3,0,0,14,22,0
"75028",0,0,0,0,0,0,0,0,0,0,0,0
"387202",0,0,0,0,0,0,0,0,0,0,0,0
"723817",0,0,0,0,0,0,0,0,0,0,0,0
"16171",0,0,0,0,0,0,0,0,0,0,0,0
"257630",0,0,0,2,1,0,0,0,0,0,0,2
"17215",143,116,552,591,733,504,1102,354,1176,1737,1458,1394
"77741",0,0,0,0,1,1,0,0,4,1,2,0
"74229",77,70,1,1,101,84,3,6,164,32,37,154
"71877",75,77,5,5,38,62,4,11,77,33,37,88
"170829",92,90,51,54,65,76,55,61,109,117,99,145
"75712",90,98,4,3,77,109,4,12,78,43,50,52
"14859",8,5,38,35,3,4,32,89,2,6,8,4
"241041",0,0,0,0,0,0,0,0,0,0,0,0
"368204",3,1,0,0,2,0,0,0,0,0,1,0
"433278",2,3,0,0,0,0,0,0,0,0,0,1
"98582",2,4,0,0,1,2,0,0,1,0,0,1
"226922",1662,2240,1,3,881,947,2,2,1113,1,4,1080
"116837",5,3,0,0,4,0,0,0,10,0,0,2
"66755",0,0,0,0,0,0,0,0,0,0,1,0
"387225",0,0,0,0,0,0,0,0,0,0,0,0
"723964",0,0,1,0,0,0,0,0,0,0,0,0
"70155",401,401,2986,2709,619,396,7155,5882,332,3240,2982,372
"100503399",0,0,10,5,3,0,10,6,0,3,2,0
"280645",56,66,37,47,95,77,69,84,70,49,60,56
