"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Energy metabolism","mmu00190","Oxidative phosphorylation - Mus musculus (house mouse)","83/2766","141/9709",0.588652482269504,2.06624257062712,8.04956441713209,3.44833349235711e-14,1.16208838692435e-11,6.53368451183452e-12,"11946/54405/11975/22272/227197/28080/17708/66335/17706/17711/17705/11947/54411/11951/228033/66445/12858/17995/114143/66046/67895/12866/226139/12861/66694/11972/67264/12868/17721/66142/68197/11950/67126/66108/66043/230075/78330/12859/66945/70316/67003/11958/68202/67273/17722/76429/66916/66218/407785/75406/333182/12857/110323/11973/11957/68775/100042503/57423/17991/17992/66091/623286/72900/27060/66152/110935/108664/17993/68342/11949/66290/66377/70383/11966/76252/66925/73834/100041273/68194/12865/66414/66237/12867",83
"Cellular Processes","Cell motility","mmu04820","Cytoskeleton in muscle cells - Mus musculus (house mouse)","116/2766","232/9709",0.5,1.75506146059291,7.34696963734657,2.19891657400746e-12,3.70517442720257e-10,2.08318412274391e-10,"12814/16398/53318/16416/13527/433182/21953/208846/13806/109620/18810/56419/14200/12839/16402/320910/22330/13007/16905/11735/20649/13179/12840/326618/70435/212073/54132/94216/21827/640524/24131/21825/16651/20650/68794/16410/67399/16907/22793/93689/12841/74103/16480/16404/22003/233199/11459/118449/67451/12830/16399/21894/319565/20740/22352/98932/17880/22004/373864/64009/16400/14201/11468/13726/12111/14118/16412/12826/12827/30794/12833/104099/15530/14119/53867/12834/54004/109700/80297/14199/13138/20970/12345/24051/13717/12832/50875/17929/13808/77579/11928/223697/53311/11603/11931/50876/20743/17886/107765/241226/12831/11717/109676/16772/13003/50874/20742/229665/14114/14268/20392/192897/12815/57778/13346/76441",116
"Organismal Systems","Environmental adaptation","mmu04714","Thermogenesis - Mus musculus (house mouse)","114/2766","238/9709",0.478991596638655,1.68131938241674,6.71674241239323,1.10140289179543e-10,1.23724258178353e-08,6.95622879028693e-09,"14081/11946/54405/22272/227197/231991/19017/108097/28080/14182/11512/105787/17708/17706/17711/17705/11947/26427/66853/11951/228033/68033/66445/12858/432530/17995/66046/12866/226139/12861/66694/67264/12868/17721/57376/67605/66142/108079/68197/11950/67126/66108/12801/66043/20112/230075/78330/12859/66945/70316/104111/66272/67003/11958/68202/104263/66993/67273/17722/214663/19091/18749/78284/66916/66218/26397/407785/75406/333182/12857/110323/78070/11957/50790/100042503/57423/12896/17991/17992/66091/69893/623286/72900/110651/66152/20663/19016/20111/18160/83796/17993/68342/23945/11949/67892/66377/76178/70383/16890/11515/66925/100041273/76947/68194/52469/12865/66414/104110/19094/68185/22227/67155/12867/26415",114
"Cellular Processes","Cellular community - eukaryotes","mmu04510","Focal adhesion - Mus musculus (house mouse)","100/2766","202/9709",0.495049504950495,1.73768461444843,6.68716520564549,1.5273966188143e-10,1.27817900144233e-08,7.18638826361453e-09,"13645/16398/21923/11651/16416/12043/232906/22323/18481/13731/18750/71785/67268/18709/12389/12839/16402/16001/320910/22330/11855/16774/12840/329251/18752/16779/60595/94216/21827/19878/21825/16410/18590/109905/107746/13712/13730/109880/22793/12841/192176/18654/16404/17931/16000/12830/16399/20750/12334/109711/21894/70584/98932/13649/107589/16400/16775/16782/216148/23797/12444/226519/57342/22341/16412/18719/12826/12827/54635/12833/19303/104099/14360/110157/16202/19877/18591/12834/57257/109700/19699/19045/74769/20663/11796/22371/18706/18596/16542/241226/16776/16777/14254/16772/16780/271849/14268/12443/170758/192897",100
"Human Diseases","Cancer: overview","mmu05208","Chemical carcinogenesis - reactive oxygen species - Mus musculus (house mouse)","110/2766","229/9709",0.480349344978166,1.68608524598446,6.63145827915116,1.89640801400939e-10,1.27817900144233e-08,7.18638826361453e-09,"13645/11946/54405/13849/22272/227197/11651/57344/18104/28080/17708/17706/17711/17705/18709/11740/11947/20656/11951/228033/66445/12858/75292/320718/17995/66046/12866/12861/20655/66694/11350/67264/12868/17721/76113/66142/68197/11950/50490/56615/14862/67126/66108/109880/18760/19247/66043/230075/78330/12859/66945/70316/67003/68202/67273/17722/66916/13649/66218/407785/26396/75406/105675/333182/12857/23797/110323/11957/13057/13107/110157/100042503/13078/17991/17992/66091/101540/11739/623286/72900/11622/66152/18033/74769/20663/11352/13850/53859/18805/14871/18706/17993/68312/14872/68342/11949/17969/66377/66925/100041273/68194/14866/12865/66414/17970/19094/18024/12867/26415/171429",110
"Human Diseases","Cardiovascular disease","mmu05415","Diabetic cardiomyopathy - Mus musculus (house mouse)","105/2766","217/9709",0.483870967741935,1.69844657476734,6.567522708515,2.89947594003682e-10,1.62853898632068e-08,9.1562398106426e-09,"68263/55951/11946/54405/22272/227197/11651/14583/70456/18750/28080/17708/18597/17706/17711/17705/18709/11740/11947/11421/14584/11951/228033/18795/66445/12858/17995/66046/12866/18752/12861/13033/66694/67264/12868/17721/66142/68197/11950/236900/67126/66108/66043/230075/210789/12491/78330/12859/14381/66945/11938/14380/70316/67003/68202/67273/17722/18604/66916/66218/407785/20525/75406/12325/105675/333182/12857/23797/27273/110323/11957/13057/100042503/12896/17991/17992/66091/11739/20528/623286/72900/66152/19045/18033/74769/18706/17993/68342/11949/17969/66377/66925/11606/100041273/14782/53313/68194/12865/66414/17970/19094/12322/17390/12867/26415",105
"Organismal Systems","Development and regeneration","mmu04360","Axon guidance - Mus musculus (house mouse)","89/2766","181/9709",0.49171270718232,1.725972044119,6.22265465838122,2.41479877466086e-09,1.16255312437244e-07,6.53629743517225e-08,"18019/13845/13835/226251/80883/12632/20351/18481/18750/13836/13848/67268/319757/140571/18709/20130/235611/13846/14159/13640/13841/13641/20350/11350/16886/19878/107449/50780/117606/18846/231637/69632/11854/19247/20361/244058/231148/19876/20348/12767/13642/20354/70584/214968/98932/20356/12325/14365/20187/20360/93742/16412/13838/14678/14360/110157/16202/20564/19877/73181/53972/13800/57764/12631/13639/234779/74769/18844/12168/22253/13844/18706/20358/58220/18208/13643/12162/243743/22419/17974/22063/18845/319713/20563/12322/223881/12934/218877/170758",89
"Metabolism","Nucleotide metabolism","mmu00240","Pyrimidine metabolism - Mus musculus (house mouse)","36/2766","56/9709",0.642857142857143,2.25650759219089,5.9517594005441,2.57437924150005e-08,1.0844572554819e-06,6.09721399302644e-07,"22169/56749/12499/66422/18103/21877/80914/68106/18102/22171/54369/12495/18605/50773/20133/20135/68556/320685/22247/209558/23959/69692/69719/12497/67464/103850/13178/21915/51797/72269/66588/215446/66401/72962/99586/57813",36
"Environmental Information Processing","Signaling molecules and interaction","mmu04512","ECM-receptor interaction - Mus musculus (house mouse)","50/2766","89/9709",0.561797752808989,1.97197916920552,5.81409085288208,3.69184973200293e-08,1.38239262187221e-06,7.77231522526932e-07,"12505/15366/16398/21923/16416/12839/16402/320910/16774/12840/16779/94216/21827/242022/21825/16410/12841/12491/16404/12830/16399/20750/16400/16775/16782/226519/16412/12826/12827/75209/12833/104099/15530/12834/109700/231470/14723/19699/13138/114249/22371/11603/241226/16776/14724/16777/16772/16780/14268/192897",50
"Human Diseases","Cancer: overview","mmu05205","Proteoglycans in cancer - Mus musculus (house mouse)","93/2766","204/9709",0.455882352941176,1.60020309642295,5.46832910013916,1.16479132480603e-07,3.92534676459631e-06,2.20697303647457e-06,"12505/18569/16398/11651/16416/18750/14182/14388/319757/18709/12367/12512/12389/16402/20130/16001/11735/12402/13179/329251/18752/13043/19878/21825/16410/16801/18792/13712/109880/69632/19247/22059/192176/16439/17931/16000/20544/15200/18749/22420/13649/16440/26396/12325/21898/14369/14362/23797/17246/14365/16438/93897/16412/17698/19303/110157/22411/15530/19877/21926/13207/57257/69253/234779/19045/57265/74769/20663/13867/24088/18706/21859/22409/12575/22419/83383/14102/16542/109676/14734/16002/14733/19094/12322/17869/17390/14371/13982/14268/15163/12443/26415/21844",93
"Human Diseases","Infectious disease: viral","mmu05165","Human papillomavirus infection - Mus musculus (house mouse)","147/2766","359/9709",0.409470752089136,1.43729267246328,5.32881947747026,1.67465978466657e-07,4.93794810742651e-06,2.7762944224169e-06,"13645/15015/12428/16398/21923/11975/100529082/11651/16416/231991/15006/66335/110557/18709/12367/13555/12576/12839/54411/26427/16402/270118/320910/23962/15040/114143/56217/16774/12840/16779/14972/19650/11972/433586/94216/21827/21825/16410/11920/15007/22059/12841/26941/16404/19054/12830/69717/16399/15018/20750/19225/16449/21414/13685/18749/78284/14991/103806/22420/13649/16400/26396/16775/16782/142980/14369/14362/23797/17246/14365/12444/93897/224912/93742/226519/12370/16412/12826/12827/11973/12833/101206/19303/104099/110157/12571/17858/68775/103733/19053/16897/22411/12914/21926/21752/12834/26932/109700/27060/19699/19664/14924/57265/18033/74769/20663/15213/110935/108664/22371/18706/20847/23805/58220/14082/22409/15013/66290/12575/72930/11966/76252/18596/18131/22419/12006/14102/73834/14997/241226/103768/16776/12448/21415/16777/217325/16772/66237/16391/16780/14371/14963/56198/14268/12443/192897/17305",147
"Human Diseases","Endocrine and metabolic disease","mmu04932","Non-alcoholic fatty liver disease - Mus musculus (house mouse)","77/2766","162/9709",0.475308641975309,1.66839175883524,5.41467658414314,1.75831980086404e-07,4.93794810742651e-06,2.7762944224169e-06,"54405/22272/227197/11651/22433/108097/105787/17708/17711/18709/12367/21428/66445/20787/12858/17995/66046/12125/12866/12861/66694/67264/12868/66142/108079/68197/12369/66108/230075/78330/12859/66945/13666/70316/67003/68202/67273/66916/66218/407785/75406/333182/12857/23797/12370/110323/100042503/21926/58805/17991/17992/66091/623286/72900/66152/18033/74769/19016/68465/18706/17993/68342/66377/16193/66925/14102/100041273/12702/68194/12865/66414/19094/12122/384783/12867/16194/26415",77
